"Titel"	"Opmerking"
"|TATU"	"alias uitspraak HvJ (C-402/09) - JS"
"|CALISIR"	"alias uitspraak RvS - JS"
"|MARTINOVIC"	"alias van een andere uitspraak - JS"
"|JENKINSON"	"alias van een andere uitspraak - JS"
"|KRAJISNIK"	"alias van een andere uitspraak - JS"
"|STAKIC"	"alias van een andere uitspraak - JS"
"|FALCO"	"Amerikaanse torenvalk - JS"
"|WALLEN"	"amsterdam - JS"
"|ARAC"	"arac-software - JS"
"|GRIFHORST"	"arrest HR/veelvoorkomende achternaam"
"|SINCLAIR"	"artiest/alias arrest HvJ -JS"
"|HOOPER"	"artiest/veelvoorkomende achternaam -JS"
"|NAUS"	"arts - JS"
"|HOUGH"	"arts - JS"
"|TEODORESCU"	"arts - JS"
"|STOBER"	"auteur - JS"
"|RIIS"	"auteur - JS"
"|SACKER"	"auteur waarnaar verwezen wordt in voetnoot - JS"
"|HUMMER"	"auto - JS"
"|CAR"	"auto in het Engels/bedrijfsnaam - JS"
"|BORA"	"auto type - JS"
"|IANOS"	"auto type - JS"
"|SAFIRA"	"automerk/voornaam -JS"
"|SIK"	"baardje - JS"
"|KANE"	"band - JS"
"|BAN"	"bannen - NL woord - JS"
"|VAMOS"	"bedijfsnaam/afkorting - JS"
"|KONI"	"bedrijfnaam - JS"
"|SHER"	"bedrijfnaam - JS"
"|PIPER"	"bedrijfsnaam"
"|NOWAK"	"bedrijfsnaam - JS"
"|STAN"	"Bedrijfsnaam - JS"
"|VIT"	"bedrijfsnaam - JS"
"|MESSIER"	"bedrijfsnaam - JS"
"|SERES"	"bedrijfsnaam - JS"
"|BOHRER"	"bedrijfsnaam - JS"
"|SEVER"	"bedrijfsnaam - JS"
"|MEDIC"	"bedrijfsnaam - JS"
"|FIORE"	"bedrijfsnaam - JS"
"|GIZA"	"bedrijfsnaam - JS"
"|HADI"	"bedrijfsnaam - JS"
"|PECA"	"bedrijfsnaam - JS"
"|RIMER"	"bedrijfsnaam - JS"
"|BIRO"	"bedrijfsnaam - JS"
