"Titel"	"Opmerking"
"|PRATT"	"naam komt in een ander verband voor - JS"
"|VAN DER PEET"	"naam komt in een ander verband voor - JS"
"|STIFTER"	"naam komt in een ander verband voor - JS"
"|BELLET"	"naam komt in een ander verband voor - JS"
"|BECHER"	"naam komt in een ander verband voor - JS"
"|NORDLING"	"naam komt in een ander verband voor - JS"
"|FEINGOLD"	"naam komt in een ander verband voor - JS"
"|SCOLLO"	"naam komt in een ander verband voor - JS"
"|OLLE"	"naam komt in een ander verband voor - JS"
"|BROCK"	"naam komt in een ander verband voor - JS"
"|BATES"	"naam komt in een ander verband voor - JS"
"|ARRABAL"	"naam komt in een ander verband voor - JS"
"|BAEGEN"	"naam komt in een ander verband voor - JS"
"|POTTS"	"naam komt in een ander verband voor - JS"
"|PETROU"	"naam komt in een ander verband voor - JS"
"|DUSHI"	"naam komt in een ander verband voor - JS"
"|BACHMANN"	"naam komt in een ander verband voor - JS"
"|SIMONIAN"	"naam komt in een ander verband voor - JS"
"|MANSUR"	"naam komt in een ander verband voor - JS"
"|KORNER"	"naam komt in een ander verband voor - JS"
"|KANDEL"	"naam komt in een ander verband voor - JS"
"|HAGELE"	"naam komt in een ander verband voor - JS"
"|BERECZKI"	"naam komt in een ander verband voor - JS"
"|FRANKEL"	"naam komt in een ander verband voor - JS"
"|TRAVERS"	"naam komt in een ander verband voor - JS"
"|MAIKOE"	"naam komt in een ander verband voor - JS"
"|KOFLER"	"naam komt in een ander verband voor - JS"
"|RASSY"	"naam komt in een ander verband voor - JS"
"|KAMARA"	"naam komt in een ander verband voor - JS"
"|SENN"	"naam komt in een ander verband voor - JS"
"|VERMEIRE"	"naam komt in een ander verband voor - JS"
"|INSAM"	"naam komt in een ander verband voor - JS"
"|LIEFVELD"	"naam komt in een ander verband voor - JS"
"|BRANDNER"	"naam komt in een ander verband voor - JS"
"|ISAACS"	"naam komt in een ander verband voor - JS"
"|KILYEN"	"naam komt in een ander verband voor - JS"
"|B. COMPANY"	"naam komt in een ander verband voor - JS"
"|SCHWABE"	"naam komt in een ander verband voor - JS"
"|BYRN"	"naam komt in een ander verband voor - JS"
"|LOCKWOOD"	"naam komt in een ander verband voor - JS"
"|MARGARETA"	"naam komt in een ander verband voor - JS"
"|GANA"	"naam komt in een ander verband voor - JS"
"|OBSERVER"	"naam komt in een ander verband voor - JS"
"|HAYWARD"	"naam komt in een ander verband voor - JS"
"|ASCH"	"naam komt in een ander verband voor - JS"
"|VAN KUYK"	"naam komt in een ander verband voor - JS"
"|MORI"	"naam komt in een ander verband voor - JS"
"|MATTSSON"	"naam komt in een ander verband voor - JS"
"|KJELLBERG"	"naam komt in een ander verband voor - JS"
"|McGOVERN"	"naam komt in een ander verband voor - JS"
"|HAYE"	"naam komt in een ander verband voor - JS"
"|BYLOOS"	"naam komt in een ander verband voor - JS"
"|SMIET"	"naam komt in een ander verband voor - JS"
"|RADERMACHER"	"naam komt in een ander verband voor - JS"
"|KRAFFT"	"naam komt in een ander verband voor - JS"
"|LEHMANN"	"naam komt in een ander verband voor - JS"
"|CHAPPELL"	"naam komt in een ander verband voor - JS"
"|SARGIN"	"naam komt in een ander verband voor - JS"
"|HAHNE"	"naam komt in een ander verband voor - JS"
"|BANER"	"naam komt in een ander verband voor - JS"
"|DUGGAN"	"naam komt in een ander verband voor - JS"
"|SCHRAFT"	"naam komt in een ander verband voor - JS"
"|KEIJSPER"	"naam komt in een ander verband voor - JS"
"|NISSEN"	"naam komt in een ander verband voor - JS"
"|JARMAN"	"naam komt in een ander verband voor - JS"
"|SAMS"	"naam komt in een ander verband voor - JS"
"|RUPP"	"naam komt in een ander verband voor - JS"
"|MIKELSONS"	"naam komt in een ander verband voor - JS"
"|PEYER"	"naam komt in een ander verband voor - JS"
"|NEUMEISTER"	"naam komt in een ander verband voor - JS"
"|BAADER"	"naam komt in een ander verband voor - JS"
"|KAMMA"	"naam komt in een ander verband voor - JS"
"|DE BECKER"	"naam komt in een ander verband voor - JS"
"|LAWLESS"	"naam komt in een ander verband voor - JS"
"|GELAUDE"	"naam komt in een ander verband voor - JS"
"|PLAISIER"	"naam komt in een ander verband voor - JS"
"|LANKESTER"	"naam komt in een ander verband voor - JS"
"|HAALMEIJER"	"naam komt in een ander verband voor - JS"
"|WINTERSTEIN"	"naam komt in een ander verband voor - JS"
"|KONSTANTINOU"	"naam komt in een ander verband voor - JS"
"|NABIL"	"naam komt in een ander verband voor - JS"
"|SARAR"	"naam komt in een ander verband voor - JS"
"|ALMAZ"	"naam komt in een ander verband voor - JS"
"|STANA"	"naam komt in een ander verband voor - JS"
"|SCHNEEWEISS"	"naam komt in een ander verband voor - JS"
"|ABDULRAHMAN"	"naam komt in een ander verband voor - JS"
"|KUBES"	"naam komt in een ander verband voor - JS"
"|ILIE"	"naam komt in een ander verband voor - JS"
"|BUCUR"	"naam komt in een ander verband voor - JS"
"|EFE"	"naam komt in een ander verband voor - JS"
"|GASSNER"	"naam komt in een ander verband voor - JS"
"|BANU"	"naam komt in een ander verband voor - JS"
"|MICHAUD"	"naam komt in een ander verband voor - JS"
"|BUTT"	"naam komt in een ander verband voor - JS"
"|STEPIEN"	"naam komt in een ander verband voor - JS"
"|STRUC"	"naam komt in een ander verband voor - JS"
"|MENGI"	"naam komt in een ander verband voor - JS"
"|JOOS"	"naam komt in een ander verband voor - JS"
"|ERDAL"	"naam komt in een ander verband voor - JS"
"|KURA"	"naam komt in een ander verband voor - JS"
"|OZAN"	"naam komt in een ander verband voor - JS"
"|PANUS"	"naam komt in een ander verband voor - JS"
"|KAYAK"	"naam komt in een ander verband voor - JS"
"|TENE"	"naam komt in een ander verband voor - JS"
"|ALKAN"	"naam komt in een ander verband voor - JS"
"|COLON"	"naam komt in een ander verband voor - JS"
"|TURKER"	"naam komt in een ander verband voor - JS"
"|VYDRIN"	"naam komt in een ander verband voor - JS"
"|VUK"	"naam komt in een ander verband voor - JS"
"|NICOARA"	"naam komt in een ander verband voor - JS"
"|MAJURI"	"naam komt in een ander verband voor - JS"
"|ARDA"	"naam komt in een ander verband voor - JS"
"|TUZ"	"naam komt in een ander verband voor - JS"
"|BASER"	"naam komt in een ander verband voor - JS"
"|MITROKHIN"	"naam komt in een ander verband voor - JS"
"|FIDANCI"	"naam komt in een ander verband voor - JS"
"|KILICASLAN"	"naam komt in een ander verband voor - JS"
"|JUSUF"	"naam komt in een ander verband voor - JS"
"|NEMES"	"naam komt in een ander verband voor - JS"
"|MATI"	"naam komt in een ander verband voor - JS"
"|HUET"	"naam komt in een ander verband voor - JS"
"|POIROT"	"naam komt in een ander verband voor - JS"
"|YANIK"	"naam komt in een ander verband voor - JS"
"|KALKAN"	"naam komt in een ander verband voor - JS"
"|TRANSPETROL"	"naam komt in een ander verband voor - JS"
"|DE SIMONE"	"naam komt in een ander verband voor - JS"
"|STASI"	"naam komt in een ander verband voor - JS"
"|GIUSTI"	"naam komt in een ander verband voor - JS"
"|BOSTANCI"	"naam komt in een ander verband voor - JS"
"|SURY"	"naam komt in een ander verband voor - JS"
"|NEVSKAYA"	"naam komt in een ander verband voor - JS"
"|ERCIYAS"	"naam komt in een ander verband voor - JS"
"|ZUPAN"	"naam komt in een ander verband voor - JS"
"|YUN"	"naam komt in een ander verband voor - JS"
"|WILKES"	"naam komt in een ander verband voor - JS"
"|WYSOCKI"	"naam komt in een ander verband voor - JS"
"|CAKAR"	"naam komt in een ander verband voor -JS"
"|BROCHU"	"naam komt in een ander verband voor -JS"
"|DRIEMAN"	"naam komt in een ander verband voor -JS"
"|FITT"	"naam komt in een ander verband voor -JS"
"|ALDO"	"naam komt in een ander verband voor -JS"
"|CONDE"	"naam komt in een ander verband voor -JS"
"|SALVATORI"	"naam komt in een ander verband voor -JS"
"|HALIL"	"naam komt in een ander verband voor -JS"
"|PERKS"	"naam komt in een ander verband voor -JS"
"|DUNN"	"naam komt in een ander verband voor -JS"
"|DRUMMOND"	"naam komt in een ander verband voor -JS"
"|LEANDER"	"naam komt in een ander verband voor -JS"
"|RYDSTROM"	"naam komt in een ander verband voor -JS"
"|MUNRO"	"naam komt in een ander verband voor -JS"
"|GILLARD"	"naam komt in een ander verband voor -JS"
"|KALEMA"	"naam komt in een ander verband voor -JS"
"|BRANT"	"naam komt in een ander verband voor -JS"
"|COMPANY S."	"naam komt in een ander verband voor -JS"
"|KAUFMAN"	"naam komt in een ander verband voor -JS"
"|BENTHEM"	"naam komt in een ander verband voor -JS"
"|JOLIE"	"naam komt in een ander verband voor -JS"
"|LINDE"	"naam komt in een ander verband voor -JS"
"|LANT"	"naam komt in een ander verband voor -JS"
"|SEALE"	"naam komt in een ander verband voor -JS"
"|SLADE"	"naam komt in een ander verband voor -JS"
"|PETTY"	"naam komt in een ander verband voor -JS"
"|A. ASSOCIATION"	"naam komt in een ander verband voor -JS"
"|C. Family"	"naam komt in een ander verband voor -JS"
"|LE COMPTE"	"naam komt in een ander verband voor -JS"
"|A. Union"	"naam komt in een ander verband voor -JS"
"|ADOLF"	"naam komt in een ander verband voor -JS"
"|BLIC"	"naam komt in een ander verband voor -JS"
"|VASQUEZ"	"naam komt in een ander verband voor -JS"
"|CHAUDHRY"	"naam komt in een ander verband voor -JS"
"|DARA"	"naam komt in een ander verband voor -JS"
"|KOZIOL"	"naam komt in een ander verband voor -JS"
"|GOREN"	"naam komt in een ander verband voor -JS"
"|HOSSA"	"naam komt in een ander verband voor -JS"
"|KONAK"	"naam komt in een ander verband voor -JS"
"|BARTOK"	"naam komt in een ander verband voor -JS"
"|PIETA"	"naam komt in een ander verband voor -JS"
"|MILOS"	"naam komt in een ander verband voor -JS"
"|RADEMACHER"	"naam komt in een ander verband voor -JS"
"|GHALI"	"naam komt in een ander verband voor -JS"
"|JALLOW"	"naam komt in een ander verband voor -JS"
"|KHALIL"	"naam komt in een ander verband voor -JS"
"|BOGDAN"	"naam komt in een ander verband voor op rechtspraak - JS"
"|ALICI"	"naam komt in een ander verband voor op rechtspraak - JS"
"|VODA"	"naam komt in een ander verband voor op rechtspraak - JS"
"|BISTA"	"naam komt in een ander verband voor op rechtspraak - JS"
"|AKKUS"	"naam komt in een ander verband voor op rechtspraak - JS"
"|ALVES"	"naam komt in een ander verband voor op rechtspraak - JS"
"|FRANCOIS"	"naam komt in een ander verband voor op rechtspraak - JS"
"|MINKO"	"naam komt voor in citaat -JS"
"|HOLLY"	"naam komt voor in een ander verband -JS"
"|VALERIU"	"naam komt voor in een ander verband -JS"
"|BAKA"	"naam komt voor in een ander verband -JS"
"|DURIC"	"naam komt voor in een ander verband -JS"
"|MESIC"	"naam komt voor in een ander verband -JS"
"|BILGIN"	"naam komt voor in een ander verband -JS"
"|IPEK"	"naam komt voor in een ander verband -JS"
"|BOOTH"	"naam komt voor in een ander verband -JS"
"|BELKIN"	"naam komt voor in een ander verband -JS"
"|DUMAN"	"naam komt voor in een ander verband -JS"
"|ORBAN"	"naam komt voor in een ander verband -JS"
"|ACIK"	"naam komt voor in een ander verband -JS"
"|STANKOVIC"	"naam komt voor in een ander verband -JS"
"|ZEMAN"	"naam komt voor in een ander verband -JS"
"|TANAY"	"naam komt voor in een ander verband -JS"
"|KES"	"naam komt voor in een ander verband -JS"
"|LUKIC"	"naam komt voor in een ander verband -JS"
"|GALKA"	"naam komt voor in een ander verband -JS"
"|BOTA"	"naam komt voor in een ander verband -JS"
"|GUBER"	"naam komt voor in een ander verband -JS"
"|DRAGOMIR"	"naam komt voor in een ander verband -JS"
"|AKIN"	"naam komt voor in een ander verband -JS"
"|FRIEDRICH"	"naam komt voor in een ander verband -JS"
"|HAHN"	"naam komt voor in een ander verband -JS"
"|LATTA"	"naam komt voor in een ander verband -JS"
"|SLACK"	"naam komt voor in een ander verband -JS"
"|PAIS"	"naam krant - JS"
"|HENNIS"	"naam minister - JS"
"|MATZINGER"	"naam notaris - JS"
"|CAMERON"	"naam premier Engeland - JS"
"|BASARAN"	"naam psychiater die enkele malen voorkomt op rechtspraak -JS"
"|FRODL"	"naam psychiater die meerdere malen voorkomt op rechtspraak - JS"
"|DURAN"	"naam psycholoog die voorkomt op rechtspraak - JS"
"|DRAYER"	"naam rechter - JS"
"|DULEK"	"naam rechter - JS"
"|VAN WAEGENINGH"	"naam rechter - JS"
"|LUKACS"	"naam rechter - JS"
"|WURZER"	"naam rechter - JS"
"|ALWIN"	"naam rechter -JS"
"|PURCELL"	"naam rechter -JS"
"|CAPITAN"	"naam schip op rechtspraak - JS"
"|WINKLER"	"naam school - JS"
"|CONE"	"naam school - JS"
"|BEDIR"	"naam school - JS"
"|TABOR"	"naam school - JS"
"|BELLO"	"naam school - JS"
"|ARUC"	"naam school - JS"
"|PONTES"	"naam school - JS"
"|ARENT"	"naam stichting - JS"
"|RAVON"	"naam stichting - JS"
"|WENDE"	"naam stichting - JS"
"|MANDIR"	"naam stichting - JS"
"|LAKA"	"naam stichting - JS"
"|ISKCON"	"naam stichting - JS"
"|SEVA"	"naam stichting - JS"
"|MEZO"	"naam stichting - JS"
"|FUNKE"	"naam terrein in Amsterdam - JS"
"|GURBUZ"	"naam tolk - JS"
"|KAYGISIZ"	"naam tolk - JS"
"|HUSAK"	"naam tolk - JS"
"|RASHED"	"naam tolk - JS"
"|ABRAHAMIAN"	"naam tolk - JS"
"|VOLKOVA"	"naam tolk - JS"
"|KAPAR"	"naam tolk - JS"
"|MUSA"	"naam tolk - JS"
"|NIKOLOPOULOS"	"naam tolk - JS"
"|STOYANOVA"	"naam tolk - JS"
"|AKSAC"	"naam tolk - JS"
"|BELEK"	"naam tolk - JS"
"|HEIDARI"	"naam tolk - JS"
"|SULAR"	"naam tolk - JS"
"|HASHIMI"	"naam tolk - JS"
"|DORDEVIC"	"naam tolk - JS"
"|HASANI"	"naam tolk  op rechtspraak - JS"
"|ARPAT"	"naam tolk die vaak voorkomt op rechtspraak - JS"
"|DONMEZ"	"naam tolk -JS"
"|IZCI"	"naam tolk -JS"
"|ABDI"	"naam tolk -JS"
"|TIRON"	"naam uitgever - JS"
"|EKONOMI"	"Naam Universiteit - JS"
"|DURHAM"	"naam universiteit - JS"
"|WEBSTER"	"naam universiteit - JS"
"|MESZAROS"	"naam van arts -JS"
"|MILANOVIC"	"naam van auteur die meerdere keren voorkomt op rechtspraak -JS"
"|AYTAS"	"naam van een advocaat - JS"
"|AKSOY"	"naam van een arts die vaak voorkomt - JS"
"|RISA"	"naam van een gemeente ambtenaar - JS"
"|MANOVA"	"naam van een HvJ uitspraak (HvJ EU 10 oktober 2013, C-336/12) - JS"
"|ALPHAN"	"naam van een kliniek in Duitsland. Komt eenmaal voor op rechtspraak. Geen verwijzing naar EHRM uitspraak gevonden. - JS"
"|MUR"	"naam van een partij die veelvuldig voorkomt op rechtspraak -JS"
"|FLEURY"	"naam van een Stichting die veelvuldig genoemd wordt op rechtspraak - JS"
"|KUBLER"	"naam van een stichting. Geen verwijzing naar de EHRM uitspraak gevonden."
"|TAMIR"	"naam van een tolk - JS"
"|OKTAS"	"naam van een tolk op rechtspraak - JS"
"|DICLE"	"naam van een universiteit - JS"
"|OVRAN"	"naam van een vereniging. Komt meerdere malen voor op rechtspraak - JS"
"|PHOCAS"	"naam vereniging - JS"
"|SAMADI"	"naam verzekeringsarts - JS"
"|JACOBSSON"	"naam verzekeringsarts die vaak voorkomt op rechtspraak - JS"
"|MARINA"	"naam voor drijvend woonhuis - veelvoorkomend op rechtspraak - JS"
"|PETRIDIS"	"naam wordt in een ander verband gebruikt op rechtspraak -JS"
"|GIRGIS"	"naam wordt in een ander verband gebruikt op rechtspraak -JS"
"|ANTONOV"	"naam wordt in een ander verband gebruikt op rechtspraak -JS"
"|ROHR"	"naam wordt in een ander verband gebruikt op rechtspraak -JS"
"|TROFIM"	"naam wordt in een ander verband gebruikt op rechtspraak -JS"
"|LISS"	"naam wordt in een ander verband gebruikt op rechtspraak -JS"
"|HENNE"	"naam wordt op diverse wijze gebruikt - JS"
"|VATAN"	"naam ziekenhuis - JS"
"|BATI"	"naam ziekenhuis - JS"
"|FLUX"	"natuurkundige term - JS"
"|KRAT"	"Nederlands woord - JS"
"|KLIK"	"Nederlands woord - JS"
"|PUTTER"	"Nederlands woord - JS"
"|GAL"	"Nederlands woord - JS"
"|NIESEN"	"Nederlands woord - JS"
"|DEEG"	"Nederlands woord - JS"
"|PAK"	"Nederlands woord - JS"
"|LEGER"	"Nederlands woord - JS"
"|ENGEL"	"Nederlands woord en veelvuldig voorkomende achternaam -JS"
"|ALLEN"	"Nederlands woord en veelvuldig voorkomende achternaam -JS"
"|MAN"	"Nederlands woord en veelvuldig voorkomende achternaam -JS"
"|KALENDER"	"Nederlands woord- JS"
"|KART"	"Nederlands woord- JS"
"|ZAK"	"Nederlands woord- JS"
"|KOK"	"Nederlands woord- JS"
"|ER"	"Nederlands woord- JS"
"|NA."	"Nederlands woord/afkorting -JS"
"|GORDON"	"Nl artiest/ gangbare voornaam - JS"
"|FERME"	"nl en fr woord - JS"
"|BRANDT"	"NL werkwoord branden - JS"
"|BEKER"	"NL woord - JS"
"|VAAS"	"NL woord - JS"
"|LANG"	"NL woord - JS"
"|KUS"	"NL woord - JS"
"|PARK"	"NL woord - JS"
"|STEEG"	"NL woord - JS"
"|ROMMEL"	"NL woord - JS"
"|PAD"	"NL woord - JS"
"|BADER"	"NL woord - JS"
"|STEEN"	"NL woord - JS"
"|KERN"	"NL woord - JS"
"|SCHENK"	"NL woord - JS"
"|NESTOR"	"NL woord - JS"
"|HART"	"NL woord - JS"
"|ZICH"	"NL woord - JS"
"|TAS"	"nl woord - JS"
"|DAG"	"nl woord - JS"
"|BOT"	"nl woord - JS"
"|BERK"	"nl woord - JS"
"|RAND"	"nl woord - JS"
"|TUT"	"nl woord - JS"
"|KOLK"	"nl woord - JS"
"|TAAL"	"NL woord - JS"
"|HUN"	"NL woord - JS"
"|DAS"	"NL woord - JS"
"|ONDER"	"NL woord - JS"
"|MILD"	"NL woord - JS"
"|VETTER"	"NL woord - JS"
"|REUS"	"NL woord - JS"
"|STOLK"	"NL woord - JS"
"|BEET"	"NL woord - JS"
"|STEEL"	"NL woord - JS"
"|STIFT"	"NL woord - JS"
"|BELLER"	"NL woord - JS"
"|PAUSE"	"NL woord - JS"
"|GROF"	"NL woord - JS"
"|HUTTEN"	"NL woord - JS"
"|TROOST"	"nl woord - JS"
"|GAST"	"nl woord - JS"
"|MOE"	"nl woord - JS"
"|GROS"	"nl woord - JS"
"|SERRE"	"nl woord - JS"
"|PRAK"	"nl woord - JS"
"|POLI"	"nl woord - JS"
"|HEIKEL"	"nl woord - JS"
"|MENS"	"nl woord - JS"
"|DE MAN"	"nl woord - JS"
"|PARTOON"	"nl woord - JS"
"|WORM"	"nl woord - JS"
"|ATLAS"	"nl woord - JS"
"|WINTER"	"nl woord - JS"
"|MANTEL"	"nl woord - JS"
"|LANGER"	"nl woord - JS"
"|BURGER"	"nl woord - JS"
"|BOTTEN"	"nl woord - JS"
"|HUMMELS"	"nl woord - JS"
"|MENG"	"nl woord - JS"
"|SPEER"	"nl woord - JS"
"|KROON"	"nl woord - JS"
"|WILDE"	"nl woord - JS"
"|HOOS"	"nl woord - JS"
"|KRITSCH"	"nl woord - JS"
"|HEDEN"	"nl woord - JS"
"|WACHTMEESTER"	"nl woord - JS"
"|KEUS"	"nl woord - JS"
"|SCHADEN"	"nl woord - JS"
"|SPAANS"	"nl woord - JS"
"|STRAND"	"nl woord - JS"
"|WITTER"	"nl woord - JS"
"|MIN"	"nl woord - JS"
"|REED"	"nl woord - JS"
"|ZAND"	"nl woord - JS"
"|NAGEL"	"nl woord - JS"
"|DINER"	"nl woord - JS"
"|DENK"	"nl woord - JS"
"|SCALA"	"nl woord - JS"
"|VOLK"	"nl woord - JS"
"|SCHILDER"	"nl woord - JS"
"|KNECHT"	"nl woord - JS"
"|KAPEL"	"nl woord - JS"
"|GELD"	"nl woord - JS"
"|BOZE"	"nl woord - JS"
"|ROT"	"nl woord - JS"
"|TOREN"	"nl woord - JS"
"|DE DONDER"	"nl woord - JS"
"|HOUT"	"NL woord -JS"
"|BREDE"	"NL woord -JS"
"|POST"	"NL woord -JS"
"|LOS"	"NL woord -JS"
"|KACHEL"	"NL woord -JS"
"|TOT"	"NL woord -JS"
"|LANGE"	"NL woord -JS"
"|WOLF"	"NL woord -JS"
"|HAMER"	"NL woord -JS"
"|GEEN"	"NL woord -JS"
"|PROMPT"	"NL woord -JS"
"|LOS"	"NL woord -JS"
"|BALEN"	"NL woord -JS"
"|APOSTOL"	"NL woord -JS"
"|AL"	"NL woord -JS"
"|LAM"	"NL woord -JS"
"|PLOT"	"NL woord -JS"
"|GRAF"	"NL woord -JS"
"|BAKKER"	"NL woord -JS"
"|SCHAAL"	"NL woord -JS"
"|NEE"	"NL woord -JS"
"|DAL"	"NL woord -JS"
"|KEK"	"nl woord -JS"
"|KOPER"	"nl woord -JS"
"|DAN"	"nl woord -JS"
"|WALSER"	"nl woord/komt voor in citaat - JS"
"|FROMMELT"	"nl woord/komt voor in citaat - JS"
"|TAM"	"nl woord/komt voor in citaat - JS"
"|STOTTER"	"nl woord/komt voor in citaat - JS"
"|BRAND"	"nl woord/komt voor in citaat - JS"
"|MAAT"	"nl woord/komt voor in citaat - JS"
"|EREN"	"nl woord/komt voor in citaat - JS"
"|BOND"	"NL woord/veelvoorkomende achternaam - JS"
"|COUR"	"NL/FR woord - JS"
"|BACH"	"o.m. bedrijfsnaam - JS"
"|TOPIC"	"onderwerp' in het engels en voorkomend als bedrijfsnaam -JS"
"|ANDREWS"	"onderwijsinstelling - JS"
"|OCULIST"	"oogarts - JS"
"|BERBER"	"oorspronkelijke inwoners Noord-Afrika - JS"
"|KWIEK"	"opgewekt/plaatsnaam - JS"
"|HYDE"	"park - JS"
"|STELE"	"pilaar/archeologische term - JS"
"|STEIN"	"plaats in Nederland - JS"
"|NARIN"	"plaats in Sloveni�"
"|DUONG"	"plaatsnaam - JS"
"|HEINO"	"plaatsnaam - JS"
"|BOKAN"	"plaatsnaam - JS"
"|MORONI"	"plaatsnaam - JS"
"|MARTA"	"plaatsnaam - JS"
"|LINDON"	"plaatsnaam - JS"
"|ANNEN"	"plaatsnaam - JS"
"|NADOR"	"plaatsnaam - JS"
"|KOSTI"	"plaatsnaam - JS"
"|ROHDE"	"plaatsnaam - JS"
"|YAYLA"	"plaatsnaam - JS"
"|ERDEMLI"	"plaatsnaam - JS"
"|HORSHAM"	"plaatsnaam - JS"
"|BEKE"	"plaatsnaam - JS"
"|HORST"	"plaatsnaam - JS"
"|ASKAR"	"plaatsnaam - JS"
"|VELLA"	"plaatsnaam - JS"
"|SAN"	"plaatsnaam - JS"
"|SAMPSON"	"plaatsnaam - JS"
"|WINDSOR"	"plaatsnaam - JS"
"|SALERNO"	"plaatsnaam - JS"
"|HORN"	"plaatsnaam - JS"
"|QING"	"plaatsnaam - JS"
"|VEIT"	"plaatsnaam - JS"
"|DORNBACH"	"plaatsnaam - JS"
"|WARWICK"	"plaatsnaam - JS"
"|ZELE"	"plaatsnaam - JS"
"|ARRAS"	"plaatsnaam - JS"
"|VELICKO"	"plaatsnaam - JS"
"|BUDA"	"plaatsnaam en gebergte - JS"
"|LUKA"	"plaatsnaam in Bosni� - JS"
"|ENEA"	"plaatsnaam in Itali� - JS"
"|KARAMAN"	"plaatsnaam in Turkije -JS"
"|MAIDSTONE"	"plaatsnaam -JS"
"|TIMUR"	"plaatsnaam -JS"
"|GIURGIU"	"plaatsnaam -JS"
"|SAVOIA"	"plaatsnaam -JS"
"|CAMPELLO"	"plaatsnaam -JS"
"|CHARLTON"	"plaatsnaam -JS"
"|KALLO"	"plaatsnaam -JS"
"|LALE"	"plaatsnaam -JS"
"|TUREK"	"plaatsnaam -JS"
"|CASTELL"	"plaatsnaam -JS"
"|BUCHS"	"plaatsnaam -JS"
"|SANTOS"	"plaatsnaam -JS"
"|MIDDELBURG"	"plaatsnaam -JS"
"|IRVINE"	"plaatsnaam -JS"
"|ROJE"	"plaatsnaam Sloveni�/bedrijfsnaam - JS"
"|HURST"	"plaatsnaam/auteur -JS"
"|OMMER"	"plaatsnaam/bedrijfsnaam -JS"
"|MELNIK"	"plaatsnaam/merk - JS"
"|KATS"	"plaatsnaam/veelvoorkomende achternaam -JS"
"|SALI"	"plaatsnaam/veelvoorkomende achternaam -JS"
"|HAGEN"	"plant/achternaam -JS"
"|NATALE"	"post natale depressie -JS"
"|MEDVEDEV"	"premier en voormalig president Rusland - JS"
"|ASSAD"	"president Syri�"
"|SULTAN"	"prins/koning -JS"
"|EXEL"	"programma -JS"
"|ORAN"	"provincie - JS"
"|LOGAR"	"provincie in Afghanistan - JS"
"|ISLAM"	"religie - JS"
"|RAMADAN"	"religieuze traditie voor moslims - JS"
"|WEST"	"richting/bedrijfsnaam /enzo-JS"
"|LUTS"	"rivier - JS"
"|MAAS"	"rivier - JS"
"|GALLO"	"Romeinse periode/merknaam - JS"
"|STEINER"	"Rudolf Steiner School - JS"
"|SAS"	"sas van gent' is een gemeente vlakbij Terneuze -JS"
"|RICHTER"	"schaal van richter/ veelvoorkomende achternaam -JS"
"|TINNER"	"schoonmaakmiddel - JS"
"|PINTER"	"schrijfer toneelstuk en komt eenmaal voor op rechtspraak. Geen verwijzing naar de EHRM uitspraak gevonden -JS"
"|CONRAD"	"schrijver/bedrijfsnaam - JS"
"|KAFKA"	"schrijver/beschrijving van het optreden van de overheid - JS"
"|HAMLETT"	"shakespeare"
"|LEONE"	"Sierre Leone' - JS"
"|DUN"	"slank/ Nederlands woord - JS"
"|SLOVAK"	"Slowakije in het Engels - JS"
"|SOFI"	"sofi-nummer - JS"
"|KOZAK"	"soort koek - JS"
"|GALLOWAY"	"soort runderen - JS"
"|SPANG"	"spang-gemeenten - JS"
"|BUREA"	"spelfout voor bureau - JS"
"|MARTE"	"spelfout voor mate - JS"
"|PATTA"	"spreektaal voor schoen - JS"
"|RIPPE"	"spreektaal voor stelen/komt in citaat voor - JS"
"|BRUXELLES"	"stad - JS"
"|DALLAS"	"stad in de verenigde staten - Js"
"|SOPOT"	"stad in Polen - JS"
"|ARENA"	"stadion - JS"
"|WARREN"	"straatnaam - JS"
"|DE WEER"	"straatnaam -JS"
"|HORNER"	"syndroom"
"|WILKIE"	"syndroom - JS"
"|IHSAN"	"taal -JS"
"|EK"	"te algemeen"
"|FORBES"	"tijdschrift/veelvoorkomende achternaam - JS"
"|BEKDEMIR"	"tolk -JS"
"|SENDA"	"type bromfiets"
"|ISOP"	"typefout voor ""is op"" - JS"
"|ZIC"	"typefouten voor 'zich' - JS"
"|OKAY"	"Uitdrukking - JS"
"|BAH"	"uitdrukking die in citaten kan voorkomen/afkorting - JS"
"|GOH"	"uitdrukking. Komt ruim 40 keer voor op rechtspraak. Vaak in citaten die zijn weergegeven - JS"
"|PARADISO"	"uitgaansgelegendheid - JS"
"|EKER"	"uitspraak van het HvJ ( C-386/95)"
"|KUGLER"	"uitspraak van het HvJ ( HvJ EU 10 september 2002, C-141/00 )"
"|EL MORABIT"	"Uitspraak van het HvJ met dezelfde naam (T-37/07 en T-323/07) -JS"
"|SIMIC"	"uitspraak van het ICTR met die naam"
"|BACCINI"	"uitspraak van HvJ met dezelfde naam (232/82) -JS"
"|HARWARD"	"universiteit - JS"
"|PAPA"	"vader - JS"
"|TOPA"	"vakbond/stad - JS"
"|IS"	"van het werkwoord 'zijn' en verwijzing naar de 'islamitische staat' -JS"
"|MARRA"	"veee"
"|JEANS"	"veel gebruikt engels woord"
"|JUDGE"	"veel voorkomend engels woord op rechtspraak - JS"
"|DIMITROVA"	"veel voorkomende achternaam van gemachtigde - JS"
"|SAT"	"veelgebruikt als afkorting voor diverse zaken -JS"
"|ENE"	"veelgebruikt woord"
